PerovNonPerovFINALANN
exp_label,R_a1,R_b1,R_x1,E_a1,E_b1,E_x1,C_a1,C_b2,C_x2,Material
1,1.61,0.65,1.4,0.89,2.16,3.44,1.75,0.79,1.26,BaMoO3
1,1.61,0.87,1.4,0.89,1.36,3.44,1.75,1.01,1.26,BaNpO3
1,1.61,0.9,1.4,0.89,1.5,3.44,1.75,1.04,1.26,BaPaO3
1,1.61,0.78,1.4,0.89,2.33,3.44,1.75,0.92,1.26,BaPbO3
0,1.61,0.4,1.4,0.89,1.9,3.44,1.75,0.54,1.26,BaSiO3
1,1.61,0.94,1.4,0.89,1.3,3.44,1.75,1.08,1.26,BaThO3
1,1.61,0.6,1.4,0.89,1.54,3.44,1.75,0.74,1.26,BaTiO3
1,1.61,0.89,1.4,0.89,1.38,3.44,1.75,1.03,1.26,BaUO3
0,1.64,0.45,1.81,0.82,1.57,3.16,1.78,0.59,1.67,KBeCl3
0,1.39,0.45,1.81,0.93,1.57,3.16,1.53,0.59,1.67,NaBeCl3
0,1.72,0.45,1.81,0.82,1.57,3.16,1.86,0.59,1.67,RbBeCl3
0,1.7,0.45,1.81,1.62,1.57,3.16,1.84,0.59,1.67,TlBeCl3
1,1.88,0.45,1.33,0.79,1.57,3.98,2.02,0.59,1.19,CsBeF3
0,1.72,0.45,1.33,0.82,1.57,3.98,1.86,0.59,1.19,RbBeF3
1,1.17,0.8,1.4,2.02,1.78,3.44,1.31,0.94,1.26,BiInO3
0,1.64,0.76,1.4,0.82,2.02,3.44,1.78,0.9,1.26,KBiO3
0,0.92,0.76,1.4,0.98,2.02,3.44,1.06,0.9,1.26,LiBiO3
1,1.17,0.64,1.4,2.02,1.55,3.44,1.31,0.78,1.26,BiMnO3
0,1.39,0.76,1.4,0.93,2.02,3.44,1.53,0.9,1.26,NaBiO3
1,1.17,0.74,1.4,2.02,1.36,3.44,1.31,0.88,1.26,BiScO3
0,1.88,0.31,1.4,0.79,2.96,3.44,2.02,0.45,1.26,CsBrO3
0,1.64,0.31,1.4,0.82,2.96,3.44,1.78,0.45,1.26,KBrO3
0,1.39,0.31,1.4,0.93,2.96,3.44,1.53,0.45,1.26,NaBrO3
0,1.72,0.31,1.4,0.82,2.96,3.44,1.86,0.45,1.26,RbBrO3
0,1.7,0.31,1.4,1.62,2.96,3.44,1.84,0.45,1.26,TlBrO3
0,1.34,0.76,1.96,1,0.98,2.96,1.48,0.9,1.82,CaLiBr3
0,1.39,1,1.96,0.93,1,2.96,1.53,1.14,1.82,NaCaBr3
1,1.88,0.95,1.96,0.79,1.69,2.96,2.02,1.09,1.82,CsCdBr3
0,1.39,0.95,1.96,0.93,1.69,2.96,1.53,1.09,1.82,NaCdBr3
1,1.72,0.95,1.96,0.82,1.69,2.96,1.86,1.09,1.82,RbCdBr3
0,1.64,0.74,1.96,0.82,1.88,2.69,1.78,0.88,1.82,KCoBr3
0,0.92,0.74,1.96,0.98,1.88,2.96,1.06,0.88,1.82,LiCoBr3
1,1.88,1.02,1.96,0.79,2,2.96,2.02,1.16,1.82,CsHgBr3
0,1.88,0.83,1.96,0.79,1.55,2.96,2.02,0.97,1.82,CsMnBr3
0,1.88,0.69,1.96,0.79,1.91,2.96,2.02,0.83,1.82,CsNiBr3
1,1.88,1.15,1.96,0.79,1.96,2.96,2.02,0.95,1.82,CsSnBr3
0,1.88,0.86,1.96,0.79,1.54,2.96,2.02,1,1.82,CsTiBr3
0,0.92,0.72,1.96,0.98,1.31,2.96,1.06,0.86,1.82,LiMgBr3
0,1.44,0.76,1.96,0.95,0.98,2.96,1.58,0.9,1.82,SrLiBr3
0,1.39,0.72,1.96,0.93,1.31,2.96,1.53,0.86,1.82,NaMgBr3
0,1.72,0.83,1.96,0.82,1.55,2.96,1.86,0.97,1.82,RbMnBr3
0,1.44,1.02,1.96,0.95,0.93,2.96,1.58,1.16,1.82,SrNaBr3
0,1.72,0.69,1.96,0.82,1.91,2.96,1.86,0.83,1.82,RbNiBr3
0,1.31,0.16,1.4,1.69,2.55,3.44,1.45,0.3,1.26,CdCO3
0,0.9,0.16,1.4,1.88,2.55,3.44,1.04,0.3,1.26,CoCO3
0,0.89,0.16,1.4,1.31,2.55,3.44,1.03,0.3,1.26,MgCO3
0,1.49,0.16,1.4,2.33,2.55,3.44,1.63,0.3,1.26,PbCO3
0,1.44,0.16,1.4,0.95,2.55,3.44,1.58,0.3,1.26,SrCO3
1,1.88,1,1.81,0.79,1,3.16,2.02,1.14,1.67,CsCaCl3
0,1.34,0.77,1.81,1,1.9,3.16,1.48,0.91,1.67,CaCuCl3
1,1.64,1,1.81,0.82,1,3.16,1.78,1.14,1.67,KCaCl3
0,1.39,1,1.81,0.93,1,3.16,1.53,1.14,1.67,NaCaCl3
1,1.72,1,1.81,0.82,1,3.16,1.86,1.14,1.67,RbCaCl3
1,1.88,1,1.33,0.79,1,3.98,2.02,1.14,1.19,CsCaF3
1,1.64,1,1.33,0.82,1,3.98,1.78,1.14,1.19,KCaF3
0,1.34,0.76,1.33,1,0.98,3.98,1.48,0.9,1.19,CaLiF3
0,1.39,1,1.33,0.93,1,3.98,1.53,1.14,1.19,NaCaF3
1,1.34,0.71,1.4,1,1.3,3.44,1.48,0.85,1.26,CaHfO3
0,1.64,1,2.2,0.82,1,2.66,1.78,1.14,2.06,KCaI3
0,1.39,1,2.2,0.93,1,2.66,1.53,1.14,2.06,NaCaI3
0,1.72,1,2.2,0.82,1,2.66,1.86,1.14,2.06,RbCaI3
1,1.34,0.62,1.4,1,2.66,3.44,1.48,0.76,1.26,CaIrO3
1,1.34,0.68,1.4,1,1.6,3.44,1.48,0.82,1.26,CaNbO3
1,1.34,0.78,1.4,1,2.33,3.44,1.48,0.92,1.26,CaPbO3
1,1.34,0.62,1.4,1,2.2,3.44,1.48,0.76,1.26,CaRuO3
1,1.34,0.4,1.4,1,1.9,3.44,1.48,0.54,1.26,CaSiO3
1,1.34,0.69,1.4,1,1.96,3.44,1.48,0.83,1.26,CaSnO3
1,1.34,0.6,1.4,1,1.54,3.44,1.48,0.74,1.26,CaTiO3
1,1.34,0.89,1.4,1,1.38,3.44,1.48,1.03,1.26,CaUO3
1,1.34,0.58,1.4,1,1.63,3.44,1.48,0.72,1.26,CaVO3
1,1.34,0.72,1.4,1,1.33,3.44,1.48,0.86,1.26,CaZrO3
0,1.31,0.77,1.81,1.69,1.9,3.16,1.45,0.91,1.67,CdCuCl3
1,1.64,0.95,1.81,0.82,1.69,3.16,1.78,1.09,1.67,KCdCl3
0,1.39,0.95,1.81,0.93,1.69,3.16,1.53,1.09,1.67,NaCdCl3
1,1.72,0.95,1.81,0.82,1.69,3.16,1.86,1.09,1.67,RbCdCl3
