PerovNonPerovFINALANN
exp_label,R_a1,R_b1,R_x1,E_a1,E_b1,E_x1,C_a1,C_b2,C_x2,Material
0,0.92,0.53,1.4,1.83,1.55,3.44,1.06,0.67,1.26,FeMnO3
1,1.18,0.64,1.4,1.13,1.83,3.44,1.32,0.78,1.26,PrFeO3
0,0.92,0.37,1.4,1.83,2.58,3.44,1.06,0.51,1.26,FeSO3
0,0.92,0.4,1.4,1.83,2.58,3.44,1.06,0.54,1.26,FeSiO3
1,1.24,0.64,1.4,1.17,1.83,3.44,1.38,0.78,1.26,SmFeO3
1,1.1,0.64,1.4,1.22,1.83,3.44,1.24,0.78,1.26,TbFeO3
0,0.92,0.6,1.4,1.83,1.54,3.44,1.06,0.74,1.26,FeTiO3
1,1.05,0.64,1.4,1.25,1.83,3.44,1.19,0.78,1.26,TmFeO3
1,1.08,0.64,1.4,1.22,1.83,3.44,1.22,0.78,1.26,YFeO3
1,1.11,0.62,1.4,1.2,1.81,3.44,1.25,0.76,1.26,GdGaO3
0,0.92,0.62,1.4,1.78,1.81,3.44,1.06,0.76,1.26,InGaO3
1,1.36,0.62,1.4,1.1,1.81,3.44,1.5,0.76,1.26,LaGaO3
1,1.27,0.62,1.4,1.14,1.81,3.44,1.41,0.76,1.26,NdGaO3
1,1.18,0.62,1.4,1.13,1.81,3.44,1.32,0.76,1.26,PrGaO3
1,1.08,0.62,1.4,1.22,1.81,3.44,1.22,0.76,1.26,YGaO3
1,1.11,0.64,1.4,1.2,1.55,3.44,1.25,0.78,1.26,GdMnO3
1,1.11,0.6,1.4,1.2,1.91,3.44,1.25,0.74,1.26,GdNiO3
1,1.11,0.74,1.4,1.2,1.36,3.44,1.25,0.88,1.26,GdScO3
1,1.11,0.67,1.4,1.2,1.54,3.44,1.25,0.81,1.26,GdTiO3
1,1.11,0.64,1.4,1.2,1.63,3.44,1.25,0.78,1.26,GdVO3
0,1.72,0.73,2.2,0.82,2.01,2.66,1.86,0.87,2.06,RbGeI3
0,1.7,0.73,2.2,1.62,2.01,2.66,1.84,0.87,2.06,TlGeI3
0,0.89,0.53,1.4,1.31,2.01,3.44,1.03,0.67,1.26,MgGeO3
0,0.73,0.53,1.4,2.01,1.55,3.44,0.87,0.67,1.26,GeMnO3
1,1.49,0.53,1.4,2.33,2.01,3.44,1.63,0.67,1.26,PbGeO3
1,1.44,0.53,1.4,0.95,2.01,3.44,1.58,0.67,1.26,SrGeO3
1,1.49,0.71,1.4,2.33,1.3,3.44,1.63,0.85,1.26,PbHfO3
1,1.44,0.71,1.4,0.95,1.3,3.44,1.58,0.85,1.26,SrHfO3
0,1.39,1.02,2.2,0.93,2,2.66,1.53,1.16,2.06,NaHgI3
0,1.14,0.5,1.4,2,2.55,3.44,1.28,0.64,1.26,HgSeO3
1,1.14,0.6,1.4,2,1.54,3.44,1.28,0.74,1.26,HgTiO3
1,1.12,0.6,1.4,1.24,1.91,3.44,1.26,0.74,1.26,HoNiO3
1,1.12,0.74,1.4,1.24,1.36,3.44,1.26,0.88,1.26,HoScO3
1,1.12,0.67,1.4,1.24,1.54,3.44,1.26,0.81,1.26,HoTiO3
0,0.95,0.76,1.4,2.66,0.98,3.44,1.09,0.9,1.26,ILiO3
1,1.39,0.95,1.4,0.93,2.66,3.44,1.53,1.09,1.26,NaIO3
1,1.7,0.95,1.4,1.62,2.66,3.44,1.84,1.09,1.26,TlIO3
0,1.64,0.72,2.2,0.82,1.31,2.66,1.78,0.86,2.06,KMgI3
0,1.64,0.83,2.2,0.82,1.55,2.66,1.78,0.97,2.06,KMnI3
0,1.64,0.86,2.2,0.82,1.54,2.66,1.78,1,2.06,KTiI3
0,1.64,1.03,2.2,0.82,1.25,2.66,1.78,1.17,2.06,KTmI3
0,0.92,0.72,2.2,0.98,1.31,2.66,1.06,0.86,2.06,LiMgI3
0,1.39,0.72,2.2,0.93,1.31,2.66,1.53,0.86,2.06,NaMgI3
0,1.72,0.72,2.2,0.82,1.31,2.66,1.86,0.86,2.06,RbMgI3
0,1.72,0.83,2.2,0.82,1.55,2.66,1.86,0.97,2.06,RbMnI3
0,1.7,0.83,2.2,1.62,1.55,2.66,1.84,0.97,2.06,TlMnI3
0,1.7,1.19,2.2,1.62,2.33,2.66,1.84,1.33,2.06,TlPbI3
0,1.72,1.15,2.2,0.82,1.96,2.66,1.86,0.95,2.06,RbSnI3
0,1.72,0.86,2.2,0.82,1.54,2.66,1.86,1,2.06,RbTiI3
1,1.72,1.03,2.2,0.82,1.25,2.66,1.86,1.17,2.06,RbTmI3
0,1.72,0.79,2.2,0.82,1.63,2.66,1.86,0.93,2.06,RbVI3
0,1.72,1.02,2.2,0.82,1.1,2.66,1.86,1.16,2.06,RbYbI3
1,1.36,0.8,1.4,1.1,1.78,3.44,1.5,0.94,1.26,LaInO3
0,0.92,0.64,1.4,1.78,1.55,3.44,1.06,0.78,1.26,InMnO3
1,1.27,0.8,1.4,1.14,1.78,3.44,1.41,0.94,1.26,NdInO3
1,1.24,0.8,1.4,1.17,1.78,3.44,1.24,0.94,1.26,SmInO3
1,1.44,0.62,1.4,0.95,2.2,3.44,1.58,0.76,1.26,SrIrO3
0,1.64,0.13,1.4,0.82,3.04,3.44,1.78,0.27,1.26,KNO3
1,1.64,0.64,1.4,0.82,1.6,3.44,1.78,0.78,1.26,KNbO3
0,1.64,0.38,1.4,0.82,2.19,3.44,1.78,0.52,1.26,KPO3
0,1.64,0.6,1.4,0.82,2.05,3.44,1.78,0.74,1.26,KSbO3
1,1.64,0.64,1.4,0.82,1.5,3.44,1.78,0.78,1.26,KTaO3
1,1.64,0.76,1.4,0.82,1.38,3.44,1.78,0.9,1.26,KUO3
0,1.64,0.54,1.4,0.82,1.63,3.44,1.78,0.68,1.26,KVO3
1,1.36,0.86,1.4,1.1,1.27,3.44,1.5,1,1.26,LaLuO3
1,1.36,0.64,1.4,1.1,1.55,3.44,1.5,0.78,1.26,LaMnO3
1,1.36,0.6,1.4,1.1,1.91,3.44,1.5,0.74,1.26,LaNiO3
1,1.36,0.74,1.4,1.1,1.36,3.44,1.5,0.88,1.26,LaScO3
1,1.36,0.67,1.4,1.1,1.54,3.44,1.5,0.81,1.26,LaTiO3
0,1.36,0.88,1.4,1.1,1.54,3.44,1.5,1.02,1.26,LaTlO3
1,1.36,0.88,1.4,1.1,1.25,3.44,1.5,1.02,1.26,LaTmO3
1,1.36,0.64,1.4,1.1,1.63,3.44,1.5,0.78,1.26,LaVO3
1,1.36,0.9,1.4,1.1,1.22,3.44,1.5,1.04,1.26,LaYO3
1,1.36,0.87,1.4,1.1,1.1,3.44,1.5,1.01,1.26,LaYbO3
0,0.92,0.13,1.4,0.98,3.04,3.44,1.06,0.27,1.26,LiNO3
0,0.92,0.64,1.4,0.98,1.6,3.44,1.06,0.78,1.26,LiNbO3
0,0.92,0.38,1.4,0.98,2.19,3.44,1.06,0.52,1.26,LiPO3
0,0.92,0.58,1.4,0.98,1.9,3.44,1.06,0.72,1.26,LiReO3
0,0.92,0.6,1.4,0.98,2.05,3.44,1.06,0.74,1.26,LiSbO3
0,0.92,0.64,1.4,0.98,1.5,3.44,1.06,0.78,1.26,LiTaO3
0,0.92,0.54,1.4,0.98,1.63,3.44,1.06,0.68,1.26,LiVO3
1,1.03,0.64,1.4,1.27,1.55,3.44,1.17,0.78,1.26,LuMnO3
1,1.18,0.86,1.4,1.13,1.27,3.44,1.32,1,1.26,PrLuO3
1,1.03,0.67,1.4,1.27,1.54,3.44,1.17,0.81,1.26,LuTiO3
0,0.89,0.5,1.4,1.31,2.55,3.44,1.03,0.64,1.26,MgSeO3
1,0.89,0.4,1.4,1.31,1.9,3.44,1.03,0.54,1.26,MgSiO3
0,0.89,0.58,1.4,1.31,1.63,3.44,1.03,0.72,1.26,MgVO3
1,1.27,0.64,1.4,1.14,1.55,3.44,1.41,0.78,1.26,NdMnO3
0,0.69,0.53,1.4,1.91,1.55,3.44,0.83,0.67,1.26,NiMnO3
1,1.18,0.64,1.4,1.13,1.55,3.44,1.32,0.78,1.26,PrMnO3
0,0.96,0.37,1.4,1.55,2.58,3.44,1.1,0.51,1.26,MnSO3
0,0.96,0.4,1.4,1.55,1.9,3.44,1.1,0.54,1.26,MnSiO3
1,1.24,0.64,1.4,1.17,1.55,3.44,1.38,0.78,1.26,SmMnO3
0,1.15,0.53,1.4,1.96,1.55,3.44,0.95,0.67,1.26,SnMnO3
1,1.44,0.53,1.4,0.95,1.55,3.44,1.58,0.67,1.26,SrMnO3
1,1.1,0.64,1.4,1.22,1.55,3.44,1.24,0.78,1.26,TbMnO3
0,0.67,0.64,1.4,1.54,1.55,3.44,0.81,0.78,1.26,TiMnO3
1,1.04,0.64,1.4,1.1,1.55,3.44,1.18,0.78,1.26,YbMnO3
1,1.44,0.65,1.4,0.95,2.16,3.44,1.58,0.79,1.26,SrMoO3
0,1.39,0.13,1.4,0.93,3.04,3.44,1.53,0.27,1.26,NaNO3
0,1.7,0.13,1.4,1.62,3.04,3.44,1.84,0.27,1.26,TlNO3
0,1.39,0.38,1.4,0.93,2.19,3.44,1.53,0.52,1.26,NaPO3
1,1.39,0.76,1.4,0.93,1.38,3.44,1.53,0.9,1.26,NaUO3
0,1.39,0.54,1.4,0.93,1.63,3.44,1.53,0.68,1.26,NaVO3
1,1.72,0.64,1.4,0.82,1.6,3.44,1.86,0.78,1.26,RbNbO3
1,1.44,0.68,1.4,0.95,1.6,3.44,1.58,0.82,1.26,SrNbO3
1,1.27,0.6,1.4,1.14,1.91,3.44,1.41,0.74,1.26,NdNiO3
1,1.27,0.66,1.4,1.14,2.28,3.44,1.41,0.8,1.26,NdRhO3
1,1.27,0.74,1.4,1.14,1.36,3.44,1.41,0.88,1.26,NdScO3
1,1.27,0.67,1.4,1.14,1.54,3.44,1.41,0.81,1.26,NdTiO3
1,1.27,0.64,1.4,1.14,1.63,3.44,1.41,0.78,1.26,NdVO3
1,1.18,0.6,1.4,1.13,1.91,3.44,1.32,0.74,1.26,PrNiO3
0,0.69,0.5,1.4,1.91,2.55,3.44,0.83,0.64,1.26,NiSeO3
0,0.69,0.6,1.4,1.91,1.54,3.44,0.83,0.74,1.26,NiTiO3
1,1.08,0.6,1.4,1.22,1.91,3.44,1.22,0.74,1.26,YNiO3
0,1.72,0.38,1.4,0.82,2.19,3.44,1.86,0.52,1.26,RbPO3
1,1.72,0.78,1.4,0.82,2.2,3.44,1.86,0.92,1.26,RbPaO3
0,1.49,0.37,1.4,2.33,2.58,3.44,1.63,0.51,1.26,PbSO3
0,1.49,0.5,1.4,2.33,2.55,3.44,1.63,0.64,1.26,PbSeO3
0,1.49,0.4,1.4,2.33,1.9,3.44,1.63,0.54,1.26,PbSiO3
1,1.44,0.78,1.4,0.95,2.33,3.44,1.58,0.92,1.26,SrPbO3
0,1.49,0.97,1.4,2.33,2.1,3.44,1.63,1.11,1.26,PbTeO3
1,1.49,0.6,1.4,2.33,1.54,3.44,1.63,0.74,1.26,PbTiO3
1,1.18,0.66,1.4,1.13,2.28,3.44,1.32,0.8,1.26,PrRhO3
1,1.18,0.68,1.4,1.13,2.2,3.44,1.32,0.82,1.26,PrRuO3
1,1.18,0.74,1.4,1.13,1.36,3.44,1.32,0.88,1.26,PrScO3
1,1.18,0.67,1.4,1.13,1.54,3.44,1.32,0.81,1.26,PrTiO3
1,1.18,0.64,1.4,1.13,1.63,3.44,1.32,0.78,1.26,PrVO3
1,1.18,0.87,1.4,1.13,1.1,3.44,1.32,1.01,1.26,PrYbO3
1,0.96,0.79,1.4,1.28,1.63,3.44,1.1,0.93,1.26,PuVO3
1,1.72,0.64,1.4,0.82,1.5,3.44,1.86,0.78,1.26,RbTaO3
0,1.72,0.54,1.4,0.82,1.63,3.44,1.86,0.68,1.26,RbVO3
1,1.24,0.66,1.4,1.17,2.28,3.44,1.38,0.8,1.26,SmRhO3
1,1.1,0.66,1.4,1.22,2.28,3.44,1.24,0.8,1.26,TbRhO3
1,1.44,0.62,1.4,0.95,2.2,3.44,1.58,0.76,1.26,SrRuO3
0,1.7,0.6,1.4,1.62,2.05,3.44,1.84,0.74,1.26,TlSbO3
1,1.24,0.74,1.4,1.17,1.36,3.44,1.38,0.88,1.26,SmScO3
1,1.08,0.74,1.4,1.22,1.36,3.44,1.22,0.88,1.26,YScO3
0,0.9,0.5,1.4,1.65,2.55,3.44,1.04,0.64,1.26,ZnSeO3
0,1.44,0.4,1.4,0.95,1.9,3.44,1.58,0.54,1.26,SrSiO3
0,0.9,0.4,1.4,1.65,1.9,3.44,1.04,0.54,1.26,ZnSiO3
1,1.24,0.64,1.4,1.17,1.63,3.44,1.38,0.78,1.26,SmVO3
0,1.24,0.9,1.4,1.17,1.22,3.44,1.38,1.04,1.26,SmYO3
1,1.44,0.69,1.4,0.95,1.96,3.44,1.58,0.83,1.26,SrSnO3
0,0.9,0.69,1.4,1.65,1.96,3.44,1.04,0.83,1.26,ZnSnO3
1,1.44,0.58,1.4,0.95,1.63,3.44,1.58,0.72,1.26,SrVO3
1,1.44,0.72,1.4,0.95,1.33,3.44,1.58,0.86,1.26,SrZrO3
1,1.1,0.67,1.4,1.22,1.54,3.44,1.24,0.81,1.26,TbTiO3
0,0.97,0.74,1.4,2.1,1.65,3.44,1.11,0.88,1.26,TeZnO3
1,1.05,0.67,1.4,1.25,1.54,3.44,1.19,0.81,1.26,TmTiO3
1,1.08,0.67,1.4,1.22,1.54,3.44,1.22,0.81,1.26,YTiO3
1,1.04,0.67,1.4,1.1,1.54,3.44,1.18,0.81,1.26,YbTiO3
0,0.9,0.6,1.4,1.65,1.54,3.44,1.04,0.74,1.26,ZnTiO3
0,0.98,0.64,1.4,1.62,1.63,3.44,1.12,0.78,1.26,TlVO3
1,1.08,0.64,1.4,1.22,1.63,3.44,1.22,0.78,1.26,YVO3
0,1.08,0.87,1.4,1.22,1.1,3.44,1.22,1.01,1.26,YYbO3
0,1.28,0.76,1.4,1.93,2.02,3.44,1.42,0.9,1.26,AgBiO3
1,1.08,0.54,1.4,1.23,1.61,3.44,1.22,0.68,1.26,DyAlO3
1,1.11,0.54,1.4,1.2,1.61,3.44,1.25,0.68,1.26,GdAlO3
1,1.12,0.54,1.4,1.24,1.61,3.44,1.26,0.68,1.26,HoAlO3
1,0.87,0.54,1.4,1.36,1.61,3.44,1.01,0.68,1.26,ScAlO3
0,1.08,0.27,1.4,1.23,2.04,3.44,1.22,0.41,1.26,DyBO3
0,1.03,0.27,1.4,1.27,2.04,3.44,1.17,0.41,1.26,LuBO3
0,1.24,0.27,1.4,1.17,2.04,3.44,1.38,0.41,1.26,SmBO3
0,0.67,0.27,1.4,1.54,2.04,3.44,0.81,0.41,1.26,TiBO3
0,1.61,0.76,1.96,0.89,0.98,2.96,1.75,0.9,1.82,BaLiBr3
0,1.61,1.02,1.33,0.89,0.93,3.98,1.75,1.16,1.19,BaNaF3
1,1.61,0.68,1.4,0.89,1.6,3.44,1.75,0.82,1.26,BaNbO3
0,1.61,0.48,1.4,0.89,1.91,3.44,1.75,0.62,1.26,BaNiO3
1,1.61,0.86,1.4,0.89,1.28,3.44,1.75,1,1.26,BaPuO3
0,1.61,0.62,1.4,0.89,2.2,3.44,1.75,0.76,1.26,BaRuO3
1,1.61,0.69,1.4,0.89,1.96,3.44,1.75,0.83,1.26,BaSnO3
0,1.61,0.97,1.4,0.89,2.1,3.44,1.75,1.11,1.26,BaTeO3
1,1.61,0.72,1.4,0.89,1.33,3.44,1.75,0.86,1.26,BaZrO3
0,0.92,0.45,1.81,0.98,1.57,3.16,1.06,0.59,1.67,LiBeCl3
1,1.17,0.64,1.4,2.02,1.83,3.44,1.31,0.78,1.26,BiFeO3
1,1.88,1.19,1.96,0.79,2.33,2.96,2.02,1.33,1.82,CsPbBr3
0,1.49,0.76,1.96,2.33,0.98,2.96,1.63,0.9,1.82,PbLiBr3
0,1.34,0.16,1.4,1,2.55,3.44,1.48,0.3,1.26,CaCO3
0,0.73,0.16,1.4,1.9,2.55,3.44,0.87,0.3,1.26,CuCO3
0,0.96,0.16,1.4,1.55,2.55,3.44,1.1,0.3,1.26,MnCO3
0,1.34,0.76,1.81,1,0.98,3.16,1.48,0.9,1.67,CaLiCl3
1,1.34,0.55,1.4,1,1.66,3.44,1.48,0.69,1.26,CaCrO3
1,1.72,1,1.33,0.82,1,3.98,1.86,1.14,1.19,RbCaF3
1,1.34,0.53,1.4,1,2.01,3.44,1.48,0.67,1.26,CaGeO3
1,1.34,0.53,1.4,1,1.55,3.44,1.48,0.67,1.26,CaMnO3
1,1.34,0.65,1.4,1,2.16,3.44,1.48,0.79,1.26,CaMoO3
1,1.88,0.95,1.81,0.79,1.69,3.16,2.02,1.09,1.67,CsCdCl3
0,1.31,0.77,2.2,1.69,1.9,2.66,1.45,0.91,2.06,CdCuI3
1,1.31,0.69,1.4,1.69,1.96,3.44,1.45,0.83,1.26,CdSnO3
1,1.31,0.6,1.4,1.69,1.54,3.44,1.45,0.74,1.26,CdTiO3
1,1.34,0.62,1.4,1.12,1.81,3.44,1.48,0.76,1.26,CeGaO3
1,1.14,0.86,1.4,1.12,1.54,3.44,1.28,1,1.26,CeTiO3
1,1.34,0.88,1.4,1.12,1.25,3.44,1.48,1.02,1.26,CeTmO3
1,1.34,0.87,1.4,1.12,1.1,3.44,1.48,1.01,1.26,CeYbO3
0,1.39,0.12,1.4,0.93,3.16,3.44,1.53,0.26,1.26,NaClO3
0,1.88,0.74,1.81,0.79,1.88,3.16,2.02,0.88,1.67,CsCoCl3
0,1.88,0.72,1.81,0.79,1.31,3.16,2.02,0.86,1.67,CsMgCl3
1,1.88,1.19,1.81,0.79,2.33,3.16,2.02,1.33,1.67,CsPbCl3
0,1.88,0.74,1.81,0.79,1.65,3.16,2.02,0.88,1.67,CsZnCl3
0,0.77,0.74,1.81,1.9,1.65,3.16,0.91,0.88,1.67,CuZnCl3
0,1.7,1.17,1.81,1.62,1.2,3.16,1.84,1.31,1.67,TlEuCl3
0,1.64,0.72,1.81,0.82,1.31,3.16,1.78,0.86,1.67,KMgCl3
0,1.64,1.18,1.81,0.82,0.95,3.16,1.78,1.32,1.67,KSrCl3
0,1.72,0.72,1.81,0.82,1.31,3.16,1.86,0.86,1.67,RbMgCl3
0,1.7,0.72,1.81,1.62,1.31,3.16,1.84,0.86,1.67,TlMgCl3
1,1.7,0.83,1.81,1.62,1.55,3.16,1.84,0.97,1.67,TlMnCl3
0,1.49,1.02,1.81,2.33,0.93,3.16,1.63,1.16,1.67,PbNaCl3
0,1.44,1.02,1.81,0.95,0.93,3.16,1.58,1.16,1.67,SrNaCl3
0,1.72,0.74,1.81,0.82,1.65,3.16,1.86,0.88,1.67,RbZnCl3
1,1.39,0.74,1.33,0.93,1.88,3.98,1.53,0.88,1.19,NaCoF3
0,0.73,0.53,1.4,2.01,1.88,3.44,0.87,0.67,1.26,GeCoO3
1,1.24,0.61,1.4,1.17,1.88,3.44,1.38,0.75,1.26,SmCoO3
1,1.1,0.61,1.4,1.22,1.88,3.44,1.24,0.75,1.26,TbCoO3
1,1.7,0.8,1.33,1.62,1.66,3.98,1.84,0.94,1.19,TlCrF3
1,1.12,0.62,1.4,1.24,1.66,3.44,1.26,0.76,1.26,HoCrO3
1,1.24,0.62,1.4,1.17,1.66,3.44,1.38,0.76,1.26,SmCrO3
1,1.1,0.62,1.4,1.22,1.66,3.44,1.24,0.76,1.26,TbCrO3
1,1.88,1.02,1.33,0.79,2,3.98,2.02,1.16,1.19,CsHgF3
1,1.88,1.19,1.33,0.79,2.33,3.98,2.02,1.33,1.19,CsPbF3
1,1.88,1.18,1.33,0.79,0.95,3.98,2.02,1.32,1.19,CsSrF3
1,1.88,0.95,1.4,0.79,2.66,3.44,2.02,1.09,1.26,CsIO3
1,1.39,0.73,1.33,0.93,1.9,3.98,1.53,0.87,1.19,NaCuF3
0,0.73,0.5,1.4,1.9,2.55,3.44,0.87,0.64,1.26,CuSeO3
0,0.73,0.4,1.4,1.9,1.9,3.44,0.87,0.54,1.26,CuSiO3
0,0.97,0.73,1.4,2.1,1.9,3.44,1.11,0.87,1.26,TeCuO3
1,1.08,0.74,1.4,1.23,1.36,3.44,1.11,0.88,1.26,DyScO3
1,1.36,0.89,1.4,1.1,1.24,3.44,1.5,1.03,1.26,LaErO3
1,1.06,0.66,1.4,1.24,2.28,3.44,1.2,0.8,1.26,ErRhO3
1,1.12,0.66,1.4,1.2,2.28,3.44,1.26,0.8,1.26,EuRhO3
1,1.12,0.67,1.4,1.2,1.54,3.44,1.26,0.81,1.26,EuTiO3
1,1.72,0.78,1.33,0.82,1.83,3.98,1.86,0.92,1.19,RbFeF3
1,1.72,1.02,1.33,0.82,2,3.98,1.86,1.16,1.19,RbHgF3
1,1.39,0.79,1.33,0.93,1.63,3.98,1.53,0.93,1.19,NaVF3
1,1.03,0.64,1.4,1.27,1.83,3.44,1.17,0.78,1.26,LuFeO3
1,1.27,0.64,1.4,1.14,1.83,3.44,1.41,0.78,1.26,NdFeO3
1,1.04,0.64,1.4,1.1,1.83,3.44,1.18,0.78,1.26,YbFeO3
1,1.11,0.66,1.4,1.2,2.28,3.44,1.25,0.8,1.26,GdRhO3
0,0.9,0.53,1.4,1.65,2.01,3.44,1.04,0.67,1.26,ZnGeO3
0,1.64,1.02,2.2,0.82,2,2.66,1.78,1.16,2.06,KHgI3
0,1.14,0.97,1.4,2,2.1,3.44,1.28,1.11,1.26,HgTeO3
1,1.36,0.9,1.4,1.1,1.24,3.44,1.5,1.04,1.26,LaHoO3
1,1.12,0.64,1.4,1.24,1.55,3.44,1.26,0.78,1.26,HoMnO3
1,1.12,0.66,1.4,1.24,2.28,3.44,1.26,0.8,1.26,HoRhO3
1,1.64,0.95,1.4,0.82,2.66,3.44,1.78,1.09,1.26,KIO3
1,1.72,0.95,1.4,0.82,2.66,3.44,1.86,1.09,1.26,RbIO3
0,0.96,0.76,2.2,1.55,0.98,2.66,1.1,0.9,2.06,MnLiI3
0,1.72,1.19,2.2,0.82,2.33,2.66,1.86,1.33,2.06,RbPbI3
0,1.08,0.8,1.4,1.22,1.78,3.44,1.22,0.94,1.26,YInO3
1,1.64,0.78,1.4,0.82,1.5,3.44,1.78,0.92,1.26,KPaO3
1,1.36,0.66,1.4,1.1,2.28,3.44,1.5,0.8,1.26,LaRhO3
1,1.36,0.68,1.4,1.1,2.2,3.44,1.5,0.82,1.26,LaRuO3
0,0.89,0.6,1.4,1.31,1.54,3.44,1.03,0.74,1.26,MgTiO3
0,0.96,0.5,1.4,1.55,2.55,3.44,1.1,0.64,1.26,MnSeO3
1,1.08,0.64,1.4,1.22,1.55,3.44,1.22,0.78,1.26,YMnO3
0,1.72,0.13,1.4,0.82,3.04,3.44,1.86,0.27,1.26,RbNO3
1,1.39,0.64,1.4,0.93,1.6,3.44,1.53,0.78,1.26,NaNbO3
1,1.39,0.78,1.4,0.93,1.5,3.44,1.53,0.92,1.26,NaPaO3
1,1.39,0.6,1.4,0.93,2.05,3.44,1.53,0.74,1.26,NaSbO3
1,1.39,0.64,1.4,0.93,1.5,3.44,1.53,0.78,1.26,NaTaO3
1,1.39,0.62,1.4,0.93,2.36,3.44,1.53,0.76,1.26,NaWO3
1,1.24,0.6,1.4,1.17,1.91,3.44,1.38,0.74,1.26,SmNiO3
1,0.98,0.6,1.4,1.62,1.91,3.44,1.12,0.74,1.26,TlNiO3
1,1.05,0.6,1.4,1.25,1.91,3.44,1.19,0.74,1.26,TmNiO3
1,1.04,0.6,1.4,1.1,1.91,3.44,1.18,0.74,1.26,YbNiO3
1,1.49,0.72,1.4,2.33,1.33,3.44,1.63,0.86,1.26,PbZrO3
1,1.44,0.86,1.4,0.95,1.28,3.44,1.58,1,1.26,SrPuO3
1,1.72,0.76,1.4,0.82,1.38,3.44,1.86,0.9,1.26,RbUO3
1,1.24,0.67,1.4,1.17,1.54,3.44,1.38,0.81,1.26,SmTiO3
0,1.44,0.97,1.4,0.95,2.1,3.44,1.58,1.11,1.26,SrTeO3
1,1.44,0.6,1.4,0.95,1.54,3.44,1.58,0.74,1.26,SrTiO3
0,1.08,0.88,1.4,1.22,1.25,3.44,1.22,1.02,1.26,YTmO3
0,1.44,0.605,1.84,0.95,1.54,2.58,1.58,0.745,1.7,SrTiS3
0,1.61,0.605,1.84,0.89,1.54,2.58,1.75,0.745,1.7,BaTiS3
0,1.61,0.72,1.98,0.89,1.33,2.55,1.75,0.86,1.84,BaZrSe3
0,1.61,0.605,1.98,0.89,1.54,2.55,1.75,0.745,1.84,BaTiSe3
0,1.61,0.58,1.84,0.89,1.63,2.58,1.75,0.72,1.7,BaVS3
0,1.61,0.68,1.84,0.89,1.6,2.58,1.75,0.82,1.7,BaNbS3
0,1.61,0.68,1.84,0.89,1.5,2.58,1.75,0.82,1.7,BaTaS3
0,1.61,0.58,1.98,0.89,1.63,2.55,1.75,0.72,1.84,BaVSe3
0,1.61,0.68,1.98,0.89,1.5,2.55,1.75,0.82,1.84,BaTaSe3
0,1.88,0.68,1.84,0.79,1.5,2.58,2.02,0.82,1.7,CsTaS3
1,1.34,0.72,1.84,1,1.33,2.58,1.48,0.86,1.7,CaZrS3
1,1.44,0.72,1.84,0.95,1.33,2.58,1.58,0.86,1.7,SrZrS3
1,1.61,0.72,1.84,0.89,1.33,2.58,1.75,0.86,1.7,BaZrS3
1,1.59,0.72,1.84,1.2,1.33,2.58,1.49,0.86,1.7,EuZrS3
1,1.34,0.71,1.84,1,1.3,2.58,1.48,0.85,1.7,CaHfS3
1,1.44,0.71,1.84,0.95,1.3,2.58,1.58,0.85,1.7,SrHfS3
1,1.61,0.71,1.84,0.89,1.3,2.58,1.75,0.85,1.7,BaHfS3
1,1.59,0.71,1.84,1.2,1.3,2.58,1.49,0.85,1.7,EuHfS3
1,1.01,0.745,1.84,1.12,1.36,2.58,1.15,0.885,1.7,CeScS3
1,1.61,0.89,1.84,0.89,1.38,2.58,1.75,1.03,1.7,BaUS3
1,1.61,0.71,1.98,0.89,1.3,2.55,1.75,0.85,1.84,BaHfSe3
0,1.59,0.72,1.98,1.2,1.33,2.55,1.49,0.86,1.84,EuZrSe3
0,1.44,0.72,1.98,0.95,1.33,2.55,1.58,0.86,1.84,SrZrSe3
0,1.61,0.72,1.84,1.96,1.33,2.58,0.95,0.86,1.7,SnZrS3
0,1.49,0.72,1.84,2.33,1.33,2.58,1.63,0.86,1.7,PbZrS3
0,1.33,0.71,1.84,1.96,1.3,2.58,0.95,0.85,1.7,SnHfS3
0,1.49,0.71,1.84,2.33,1.3,2.58,1.63,0.85,1.7,PbHfS3
0,0.76,0.615,1.84,2.05,1.66,2.58,0.9,0.755,1.7,SbCrS3
0,1.44,0.72,1.84,0.95,1.33,2.58,1.58,0.86,1.7,SrZrS3
0,1.59,0.72,1.84,1.2,1.33,2.58,1.49,0.86,1.7,EuZrS3
0,1.44,0.71,1.98,0.95,1.3,2.55,1.58,0.85,1.7,SrHfS3
0,0.9,0.745,1.84,1.22,1.36,2.58,1.04,0.885,1.7,YScS3
0,1.025,0.64,1.84,1.38,1.63,2.58,1.165,0.78,1.7,UVS3
0,1.025,0.61,1.84,1.38,1.88,2.58,1.165,0.75,1.7,UCoS3
0,0.938,0.745,1.84,1.2,1.36,2.58,1.078,0.885,1.7,GdScS3
0,0.901,0.745,1.84,1.23,1.36,2.58,1.041,0.885,1.7,HoScS3
0,0.983,0.745,1.84,1.14,1.36,2.58,1.123,0.885,1.7,NdScS3
0,1.025,0.6,1.84,1.38,1.91,2.58,1.165,0.74,1.7,UNiS3
0,1.025,0.615,1.84,1.38,1.66,2.58,1.165,0.755,1.7,UCrS3
0,1.025,0.68,1.84,1.38,2.2,2.58,1.165,0.82,1.7,URuS3
